numItems,occupancy,name,insertionThroughput,lookupThroughput,falsePositiveRate,exportedFilterSize
2000,0.2,StandardBloomFilter,270.70559413084,657.1057776041788,0,171446
4000,0.4,StandardBloomFilter,261.1494493010866,584.9535327535439,0,171446
6000,0.6,StandardBloomFilter,569.9412960463134,617.744716995519,0,171446
8000,0.8,StandardBloomFilter,398.3627291831151,552.8126068912742,0,171446
10000,1,StandardBloomFilter,574.3792396373608,527.6627179904417,0,171446
10000,0.2,StandardBloomFilter,258.3458631074564,361.83704668588643,0,857206
20000,0.4,StandardBloomFilter,328.5998524586898,406.68922436254456,0,857206
30000,0.6,StandardBloomFilter,276.8659147605676,313.113016578109,0,857206
40000,0.8,StandardBloomFilter,284.9392509508721,278.60799089542854,0,857206
50000,1,StandardBloomFilter,242.34645655493765,264.91252191176756,0,857206
20000,0.2,StandardBloomFilter,240.3999293208439,330.457526706783,0,1714406
40000,0.4,StandardBloomFilter,241.43348718660982,287.38037343127655,0,1714406
60000,0.6,StandardBloomFilter,246.96398935282255,315.2080806738533,0,1714406
80000,0.8,StandardBloomFilter,309.1270137190885,255.57896942911992,0,1714406
100000,1,StandardBloomFilter,231.26098055856198,215.29058308660473,0,1714406
