numItems,occupancy,name,insertionThroughput,lookupThroughput,falsePositiveRate,exportedFilterSize
2000,0.2,CuckooFilter,728.5709081640348,1080.205238995284,0,34453
4000,0.4,CuckooFilter,893.4354827884621,721.5527815851483,0,66003
6000,0.6,CuckooFilter,1021.3635202993014,453.3382696833896,0,95187
8000,0.8,CuckooFilter,897.5754243834342,393.4955190698073,0,122102
10000,1,CuckooFilter,646.6088598348322,455.7594319407323,0,147736
10000,0.2,CuckooFilter,860.0227045988106,612.9122217773445,0,180360
20000,0.4,CuckooFilter,814.0471984529935,367.31654145727884,0,344403
30000,0.6,CuckooFilter,647.277120911697,282.0356013537675,0,495979
40000,0.8,CuckooFilter,715.5711868152225,242.0994623274102,0,635515
50000,1,CuckooFilter,958.153599676946,249.19472723849324,0,768773
20000,0.2,CuckooFilter,492.6848615278767,356.76188640811375,0,362025
40000,0.4,CuckooFilter,722.2211188478864,309.66535239019197,0,693209
60000,0.6,CuckooFilter,797.3464310732584,264.5650209327083,0.000033333333333333335,996720
80000,0.8,CuckooFilter,781.1104069836603,229.36930608733792,0.000025,1278964
100000,1,CuckooFilter,761.354266511247,185.84543550406315,0.00001,1544443
